id;name;price;stock;description
1;joy;30649.18;1976;../fake-data/blob/hipster.txt
2;suspiciously hm;14499.94;14007;../fake-data/blob/hipster.txt
3;unless likewise skeleton;28662.81;17025;../fake-data/blob/hipster.txt
4;ack mechanically;5379.77;15182;../fake-data/blob/hipster.txt
5;digitize;3815.09;27294;../fake-data/blob/hipster.txt
6;platypus;6570.22;26041;../fake-data/blob/hipster.txt
7;mortar;31618.85;17847;../fake-data/blob/hipster.txt
8;untrue um emulsify;29921.58;21116;../fake-data/blob/hipster.txt
9;and terribly;29767.24;2177;../fake-data/blob/hipster.txt
10;blaspheme safeguard cleave;26505.63;20893;../fake-data/blob/hipster.txt
