id;name;price;stock;description
1;gentle boo;7766.19;7648;../fake-data/blob/hipster.txt
2;to even;17388.03;25186;../fake-data/blob/hipster.txt
3;the lifestyle;4245.79;2173;../fake-data/blob/hipster.txt
4;out;25286.52;10824;../fake-data/blob/hipster.txt
5;oof uh-huh ack;8850.97;1075;../fake-data/blob/hipster.txt
6;likewise;5280.85;19660;../fake-data/blob/hipster.txt
7;hm;31360.75;5942;../fake-data/blob/hipster.txt
8;after failing twist;192.36;13027;../fake-data/blob/hipster.txt
9;monocle above;7800.52;759;../fake-data/blob/hipster.txt
10;likewise;18267.01;15059;../fake-data/blob/hipster.txt
