id;name;price;stock;description
1;the frail lock;9307.42;26750;../fake-data/blob/hipster.txt
2;boo wherever floss;25809.04;25976;../fake-data/blob/hipster.txt
3;gosh;17079.12;23439;../fake-data/blob/hipster.txt
4;versus er;23825.78;29688;../fake-data/blob/hipster.txt
5;knowingly;998.86;989;../fake-data/blob/hipster.txt
6;incidentally;29487.53;46;../fake-data/blob/hipster.txt
7;although fooey woot;7157.05;22687;../fake-data/blob/hipster.txt
8;metabolise everlasting;15155.77;8470;../fake-data/blob/hipster.txt
9;queasily ouch restfully;19083.78;7701;../fake-data/blob/hipster.txt
10;fairly than since;12263.57;21104;../fake-data/blob/hipster.txt
