id;name;price;stock;description
1;well-made ill-fated deliberately;30913.48;29131;../fake-data/blob/hipster.txt
2;devoted shrilly past;3943.76;10924;../fake-data/blob/hipster.txt
3;loosely boohoo;22899.71;30326;../fake-data/blob/hipster.txt
4;sans sit rudely;21576.93;3151;../fake-data/blob/hipster.txt
5;nervous;1217.79;21381;../fake-data/blob/hipster.txt
6;insist slap um;14782.29;626;../fake-data/blob/hipster.txt
7;yin whenever;1427.13;10579;../fake-data/blob/hipster.txt
8;before er hydrant;28720.98;32325;../fake-data/blob/hipster.txt
9;fit;28002.6;14628;../fake-data/blob/hipster.txt
10;oxidise or;32081.29;2128;../fake-data/blob/hipster.txt
