id;name;price;stock;description
1;likewise huzzah;14825.78;26606;../fake-data/blob/hipster.txt
2;by bleach while;4069.5;7816;../fake-data/blob/hipster.txt
3;now who;9144.12;13068;../fake-data/blob/hipster.txt
4;sans;15617.24;19050;../fake-data/blob/hipster.txt
5;usable boohoo surprisingly;4830.84;12802;../fake-data/blob/hipster.txt
6;but;30727.06;32538;../fake-data/blob/hipster.txt
7;under enrich pity;4431.74;5891;../fake-data/blob/hipster.txt
8;coincide oddball regularly;20743.86;23876;../fake-data/blob/hipster.txt
9;graft alongside;20596.37;20621;../fake-data/blob/hipster.txt
10;aboard;4657.26;20455;../fake-data/blob/hipster.txt
