id;tracking_number;shipped_date;delivery_date
1;than whether arrogantly;2024-10-22T18:40:44;2024-10-23T01:10:33
2;intently upon;2024-10-23T17:28:13;2024-10-22T23:05:44
3;round;2024-10-23T02:40:52;2024-10-23T13:47:32
4;atop see;2024-10-23T07:00:21;2024-10-23T12:40:45
5;charlatan;2024-10-22T19:43:32;2024-10-22T22:40:12
6;yippee rightfully hm;2024-10-22T20:34:43;2024-10-22T23:36:46
7;whenever joint often;2024-10-23T07:42:17;2024-10-23T10:02:15
8;aside;2024-10-22T22:28:44;2024-10-23T10:48:28
9;because lest;2024-10-23T10:46:41;2024-10-23T08:41:20
10;hmph how;2024-10-22T22:18:51;2024-10-23T07:05:33
