id;tracking_number;shipped_date;delivery_date
1;sniff suddenly;2024-10-23T04:53:17;2024-10-23T10:39:04
2;whose;2024-10-22T19:43:02;2024-10-23T04:45:25
3;sense;2024-10-23T18:15:41;2024-10-23T08:31:11
4;until fork;2024-10-23T14:30:29;2024-10-23T12:42:17
5;than plus;2024-10-23T18:06:38;2024-10-23T11:20:26
6;pecan;2024-10-23T09:14:26;2024-10-22T23:46:44
7;deflect ack quadruple;2024-10-23T04:25:19;2024-10-23T12:36:59
8;although floodlight culture;2024-10-23T02:52:35;2024-10-23T02:08:11
9;cop warm lazily;2024-10-23T16:45:30;2024-10-22T23:46:30
10;apropos throughout flat;2024-10-23T05:10:42;2024-10-23T03:15:40
