id;tracking_number;shipped_date;delivery_date
1;tepid question;2024-10-23T09:36:17;2024-10-22T21:37:27
2;intent newsstand than;2024-10-23T06:22:28;2024-10-23T16:26:18
3;yum;2024-10-22T23:21:48;2024-10-23T09:50:08
4;carelessly trolley alarmed;2024-10-23T11:36:38;2024-10-23T04:25:07
5;worldly blowgun;2024-10-22T18:52:16;2024-10-23T15:14:56
6;hurtful good-natured icy;2024-10-23T02:51:52;2024-10-22T21:20:38
7;astride;2024-10-23T14:07:21;2024-10-23T02:17:34
8;regarding strange book;2024-10-22T23:22:57;2024-10-22T20:01:56
9;failing low;2024-10-23T02:38:18;2024-10-22T23:07:52
10;um commonly scared;2024-10-22T21:19:56;2024-10-23T09:47:03
