id;tracking_number;shipped_date;delivery_date
1;nauseate from;2024-10-22T19:38:43;2024-10-22T19:55:08
2;boohoo;2024-10-23T04:18:56;2024-10-23T12:54:42
3;gee;2024-10-23T09:45:45;2024-10-23T16:10:18
4;outrun sparse fedora;2024-10-23T04:51:35;2024-10-23T12:50:17
5;without;2024-10-23T08:37:48;2024-10-23T10:43:01
6;er past merrily;2024-10-23T13:27:04;2024-10-23T13:44:52
7;er;2024-10-23T08:46:38;2024-10-23T07:28:48
8;cutover outrageous although;2024-10-23T04:36:14;2024-10-23T04:55:06
9;incinerate provided;2024-10-23T06:09:24;2024-10-23T05:11:42
10;bolster;2024-10-23T16:26:38;2024-10-23T03:09:21
