id;tracking_number;shipped_date;delivery_date
1;pfft good-natured;2024-10-23T00:38:02;2024-10-23T07:07:13
2;that mmm freely;2024-10-23T14:10:35;2024-10-23T12:53:44
3;goodwill hydrolyse;2024-10-23T08:29:10;2024-10-23T06:01:38
4;whether;2024-10-23T18:03:10;2024-10-23T03:28:37
5;hastily;2024-10-22T18:21:52;2024-10-23T17:12:16
6;alongside versus suckle;2024-10-23T01:35:35;2024-10-23T10:42:35
7;closely punctuation;2024-10-23T10:10:25;2024-10-23T10:32:15
8;whether quintessential what;2024-10-23T16:42:12;2024-10-23T12:14:48
9;bob eek regular;2024-10-23T08:14:02;2024-10-23T05:52:15
10;yowza questioningly yippee;2024-10-22T22:47:01;2024-10-23T05:26:01
