id;tracking_number;shipped_date;delivery_date
1;lest;2024-10-23T03:39:38;2024-10-23T16:02:30
2;marten graduate grown;2024-10-22T18:40:49;2024-10-23T04:58:15
3;doubtfully bathhouse;2024-10-23T14:06:27;2024-10-22T21:18:51
4;um nearly veto;2024-10-23T15:52:03;2024-10-23T16:15:31
5;helplessly travel actual;2024-10-23T16:47:36;2024-10-22T18:53:14
6;yearly whoa;2024-10-23T14:09:42;2024-10-22T18:41:13
7;coordinated from concerning;2024-10-22T22:58:00;2024-10-23T14:03:15
8;vacantly;2024-10-23T12:32:29;2024-10-23T16:51:10
9;that;2024-10-23T08:51:09;2024-10-23T14:23:58
10;abaft merry colligate;2024-10-23T13:28:35;2024-10-23T06:48:47
