id;tracking_number;shipped_date;delivery_date
1;yuck instance failing;2024-10-23T10:58:39;2024-10-23T07:55:29
2;inwardly yeast;2024-10-23T10:19:56;2024-10-23T16:35:19
3;joshingly;2024-10-23T09:08:55;2024-10-23T13:53:50
4;yet unnecessarily;2024-10-23T11:42:05;2024-10-23T12:36:22
5;spattering;2024-10-23T18:59:44;2024-10-23T01:46:16
6;linseed that;2024-10-23T07:36:55;2024-10-23T08:25:30
7;underneath;2024-10-23T12:42:52;2024-10-23T05:04:45
8;parched;2024-10-23T06:00:26;2024-10-22T23:27:23
9;partially beneath fast;2024-10-22T21:59:52;2024-10-23T08:28:08
10;geez gadzooks ack;2024-10-23T18:09:05;2024-10-23T08:52:41
