id;tracking_number;shipped_date;delivery_date
1;towards;2024-10-22T20:05:55;2024-10-23T06:27:41
2;after wriggler well-to-do;2024-10-23T17:44:27;2024-10-23T07:06:58
3;bitterly or knickers;2024-10-23T00:36:13;2024-10-23T13:08:39
4;unlawful redesign approach;2024-10-23T17:29:59;2024-10-23T01:29:19
5;finally overcoat solicit;2024-10-22T23:02:16;2024-10-23T09:35:01
6;astride cafe impure;2024-10-23T13:05:34;2024-10-22T21:25:25
7;upwardly;2024-10-22T22:08:25;2024-10-22T21:41:33
8;manner geez till;2024-10-23T04:04:19;2024-10-22T18:35:34
9;uh-huh;2024-10-23T14:58:11;2024-10-23T01:47:13
10;always;2024-10-22T22:52:02;2024-10-23T03:03:08
