id;name;price;stock;description
1;for rebuild;6443.31;6827;../fake-data/blob/hipster.txt
2;mill and hence;31090.88;17922;../fake-data/blob/hipster.txt
3;ack;31742.02;12672;../fake-data/blob/hipster.txt
4;mythology premier;26319.25;2331;../fake-data/blob/hipster.txt
5;gracious;19122.62;2179;../fake-data/blob/hipster.txt
6;whereas deliberately busy;1476.09;23020;../fake-data/blob/hipster.txt
7;lava daintily woot;59.8;30291;../fake-data/blob/hipster.txt
8;incidentally pull without;10578.51;634;../fake-data/blob/hipster.txt
9;afore oh viciously;1742.92;24439;../fake-data/blob/hipster.txt
10;supposing;1703.49;25272;../fake-data/blob/hipster.txt
