id;name;price;stock;description
1;mechanically;5820.51;10398;../fake-data/blob/hipster.txt
2;scuttle;29654.94;28904;../fake-data/blob/hipster.txt
3;eek yum fluffy;17300.39;29411;../fake-data/blob/hipster.txt
4;which understated hmph;8343.82;31;../fake-data/blob/hipster.txt
5;usefully;14454.89;27413;../fake-data/blob/hipster.txt
6;diver improbable pro;23586.38;24732;../fake-data/blob/hipster.txt
7;until;28703.85;30890;../fake-data/blob/hipster.txt
8;weary sardonic pastel;26578.01;25783;../fake-data/blob/hipster.txt
9;yearly;19845.21;74;../fake-data/blob/hipster.txt
10;innocently;21684.93;971;../fake-data/blob/hipster.txt
