id;name;price;stock;description
1;behind fooey bashfully;18517.73;31299;../fake-data/blob/hipster.txt
2;creature cheerful;3780.74;15711;../fake-data/blob/hipster.txt
3;under;10019.27;29476;../fake-data/blob/hipster.txt
4;orchid degenerate moor;17627.43;11888;../fake-data/blob/hipster.txt
5;intrigue now rebuff;28731.03;19732;../fake-data/blob/hipster.txt
6;scratchy;3285.72;22787;../fake-data/blob/hipster.txt
7;indeed scarper;1972.28;17678;../fake-data/blob/hipster.txt
8;what that yuck;5012.4;22082;../fake-data/blob/hipster.txt
9;orderly despite infinite;17568.67;27460;../fake-data/blob/hipster.txt
10;term joint;7286.69;31723;../fake-data/blob/hipster.txt
