id;tracking_number;shipped_date;delivery_date
1;jeopardise;2024-10-23T16:26:52;2024-10-22T20:57:01
2;gray aha;2024-10-22T20:15:59;2024-10-22T22:23:18
3;likely;2024-10-23T09:28:41;2024-10-23T05:38:22
4;oof digitize now;2024-10-23T07:42:59;2024-10-23T13:37:36
5;stack penalise accomplished;2024-10-23T15:30:05;2024-10-23T15:58:51
6;qua;2024-10-22T18:00:25;2024-10-23T16:20:29
7;yuck before over;2024-10-23T06:35:29;2024-10-22T21:46:09
8;showy as;2024-10-23T11:07:27;2024-10-23T08:49:50
9;complication;2024-10-23T10:02:55;2024-10-23T13:19:05
10;not unimpressively making;2024-10-23T06:37:15;2024-10-23T01:59:35
