id;tracking_number;shipped_date;delivery_date
1;sans;2024-10-22T17:41:35;2024-10-22T20:32:21
2;during;2024-10-23T10:32:52;2024-10-23T07:33:48
3;alongside since;2024-10-23T09:44:57;2024-10-23T07:59:24
4;metal;2024-10-23T00:17:06;2024-10-23T14:07:02
5;miserly oh;2024-10-23T06:20:48;2024-10-23T00:19:00
6;average spattering obedience;2024-10-23T13:34:18;2024-10-23T06:13:59
7;towards through carp;2024-10-23T02:12:38;2024-10-23T02:15:31
8;yum consequently loftily;2024-10-23T16:06:04;2024-10-23T01:18:44
9;scarification;2024-10-22T19:35:16;2024-10-22T21:30:14
10;superficial;2024-10-23T15:37:55;2024-10-23T00:58:19
