id;tracking_number;shipped_date;delivery_date
1;greedily by;2024-10-23T14:31:40;2024-10-23T02:20:07
2;shyly um politely;2024-10-23T06:07:23;2024-10-23T16:08:05
3;mmm;2024-10-22T19:40:31;2024-10-23T04:09:42
4;from above circle;2024-10-22T19:55:15;2024-10-23T05:34:10
5;scare given generally;2024-10-23T01:06:46;2024-10-23T04:06:43
6;repurpose whereas;2024-10-23T12:36:18;2024-10-22T20:12:00
7;a;2024-10-23T01:03:14;2024-10-23T13:21:58
8;rigidly;2024-10-22T18:59:09;2024-10-23T00:09:45
9;like tag longingly;2024-10-22T19:02:45;2024-10-23T13:13:01
10;aside;2024-10-23T00:19:49;2024-10-23T10:07:28
