id;tracking_number;shipped_date;delivery_date
1;but orientate;2024-10-22T22:22:52;2024-10-22T18:34:16
2;mom;2024-10-22T22:37:55;2024-10-23T09:56:49
3;archive what;2024-10-23T01:17:33;2024-10-22T20:44:06
4;across;2024-10-22T23:56:22;2024-10-23T15:43:31
5;um;2024-10-22T21:30:11;2024-10-23T10:29:51
6;phew shocked;2024-10-23T05:28:56;2024-10-23T16:16:47
7;afore publicize;2024-10-23T11:07:59;2024-10-23T09:11:28
8;near habit;2024-10-22T18:51:51;2024-10-23T12:46:31
9;superficial descendant indeed;2024-10-23T14:00:14;2024-10-22T22:49:31
10;than plus upwardly;2024-10-23T02:13:02;2024-10-23T12:09:24
