id;tracking_number;shipped_date;delivery_date
1;ha which;2024-10-22T22:07:39;2024-10-23T09:13:35
2;barring commonly except;2024-10-23T07:40:50;2024-10-23T14:38:22
3;whereas likewise;2024-10-23T12:40:00;2024-10-22T20:32:06
4;sunbathe;2024-10-22T18:29:41;2024-10-22T18:16:03
5;and hollow for;2024-10-23T07:12:33;2024-10-23T11:57:08
6;merry indeed likewise;2024-10-23T11:17:52;2024-10-23T01:08:13
7;gloomy huzzah subsidy;2024-10-23T13:27:08;2024-10-23T10:07:24
8;physically usefully alongside;2024-10-23T14:15:13;2024-10-23T00:44:10
9;smog;2024-10-23T13:01:58;2024-10-23T04:14:03
10;until boastfully perfectly;2024-10-23T15:01:29;2024-10-23T05:12:01
