id;invoice_number;issue_date;due_date;amount
1;mid;2024-10-23T04:07:05;2024-10-23T05:56:37;31074.64
2;regarding before sadly;2024-10-23T14:19:25;2024-10-23T07:10:23;25917.4
3;weight;2024-10-22T22:25:11;2024-10-22T17:59:39;4322.44
4;markup once;2024-10-22T20:10:55;2024-10-23T06:24:34;387.9
5;astride heartfelt;2024-10-22T23:06:35;2024-10-23T03:20:48;11688.51
6;ouch;2024-10-22T18:47:04;2024-10-22T17:43:08;14350.48
7;claw barring SUV;2024-10-23T07:12:21;2024-10-23T07:15:59;3623.16
8;wry;2024-10-23T06:53:41;2024-10-23T13:10:34;14171.2
9;progress;2024-10-23T02:56:08;2024-10-23T16:04:26;10390.74
10;even;2024-10-22T17:11:49;2024-10-23T15:20:18;28555.9
