id;invoice_number;issue_date;due_date;amount
1;owlishly below;2024-10-23T03:28:53;2024-10-23T07:52:55;17578.71
2;glimmer since;2024-10-22T17:54:13;2024-10-23T16:50:46;5540.87
3;separately;2024-10-23T05:55:17;2024-10-23T16:45:18;15923.13
4;between not how;2024-10-23T04:50:15;2024-10-22T20:58:09;5359.54
5;gee;2024-10-22T19:12:46;2024-10-22T18:11:26;21063.45
6;instantly;2024-10-23T08:45:59;2024-10-23T00:04:02;11080.65
7;although miserably whether;2024-10-22T19:10:56;2024-10-23T16:10:31;16752.48
8;flat;2024-10-23T03:38:50;2024-10-22T19:05:10;20797
9;folklore spotless;2024-10-23T07:32:51;2024-10-23T09:23:05;25844.91
10;capitalise upon pip;2024-10-23T01:50:37;2024-10-23T06:42:08;3182.69
