id;invoice_number;issue_date;due_date;amount
1;cop-out hawk;2024-10-22T23:04:34;2024-10-22T23:28:40;11342.35
2;if emergent how;2024-10-22T18:43:43;2024-10-22T19:13:10;17488.78
3;frankly;2024-10-22T20:30:18;2024-10-23T13:09:43;9331.08
4;harmful;2024-10-23T04:04:07;2024-10-23T05:01:14;19905.58
5;lest guest whenever;2024-10-22T17:42:35;2024-10-22T22:32:48;28248.73
6;blah than suspension;2024-10-23T06:17:08;2024-10-23T14:47:25;3457.57
7;intend;2024-10-22T20:20:24;2024-10-23T01:31:45;25938.05
8;brr;2024-10-22T17:24:28;2024-10-23T15:52:03;27720.74
9;when sport round;2024-10-23T00:36:06;2024-10-23T03:11:41;30024.29
10;quarrelsomely;2024-10-23T13:20:21;2024-10-23T02:58:37;22136.4
