id;invoice_number;issue_date;due_date;amount
1;sensitize which;2024-10-22T17:31:44;2024-10-23T10:32:48;26136.27
2;volleyball greedily;2024-10-22T19:40:34;2024-10-23T07:21:58;4027.71
3;who reassuringly inure;2024-10-22T20:43:12;2024-10-23T14:14:57;14951.91
4;versus providence very;2024-10-23T08:03:15;2024-10-23T11:05:32;18694.57
5;which instead er;2024-10-22T19:52:41;2024-10-22T21:13:41;32521.77
6;harangue;2024-10-22T23:43:14;2024-10-23T01:50:21;20002.22
7;drain;2024-10-23T04:17:26;2024-10-23T16:10:00;26780.63
8;wolf charter;2024-10-23T12:54:39;2024-10-23T10:44:10;8424.97
9;oh huzzah psst;2024-10-23T05:10:13;2024-10-23T01:27:16;26258.74
10;wrongly;2024-10-23T10:37:41;2024-10-22T16:44:32;28736.54
