id;invoice_number;issue_date;due_date;amount
1;upbeat;2024-10-23T06:54:13;2024-10-22T18:33:00;28548.03
2;indeed coast;2024-10-23T02:27:56;2024-10-23T07:16:18;25914.96
3;talkative positively;2024-10-23T04:46:30;2024-10-23T11:14:33;14331.52
4;median bank daintily;2024-10-23T01:17:46;2024-10-22T21:50:33;2476.76
5;pacemaker yearly psst;2024-10-22T21:26:10;2024-10-23T04:17:09;25056.59
6;quirkily;2024-10-23T15:42:45;2024-10-23T09:30:25;2059.19
7;vacantly ouch gleefully;2024-10-22T22:17:36;2024-10-22T22:18:06;12885.1
8;twist;2024-10-23T11:12:29;2024-10-23T01:44:20;19331.33
9;ouch sometimes plan;2024-10-23T13:47:20;2024-10-23T03:22:23;16933.95
10;per dependency;2024-10-23T00:44:19;2024-10-23T06:22:00;13381.12
