id;invoice_number;issue_date;due_date;amount
1;as;2024-10-23T07:04:43;2024-10-22T19:41:17;13918.54
2;which ouch;2024-10-23T05:35:06;2024-10-22T23:51:54;1882.68
3;but ew excepting;2024-10-22T20:17:31;2024-10-23T04:47:20;11982.66
4;creator instead furthermore;2024-10-22T18:40:35;2024-10-22T19:24:17;6315.92
5;and meanwhile gosh;2024-10-23T13:31:59;2024-10-23T14:40:30;12262.33
6;whole yuck;2024-10-23T09:06:23;2024-10-22T21:31:16;31685.68
7;after quarrelsomely collaborate;2024-10-23T03:45:02;2024-10-23T11:40:54;27449.92
8;for foolhardy youthfully;2024-10-23T12:53:46;2024-10-23T11:05:44;20294.8
9;casket;2024-10-23T10:18:06;2024-10-23T08:25:13;28436.85
10;because ample;2024-10-23T11:25:31;2024-10-23T06:54:49;20766.62
