id;invoice_number;issue_date;due_date;amount
1;gah furthermore;2024-10-23T01:48:20;2024-10-23T01:44:40;12159.24
2;quarrelsomely ick forenenst;2024-10-23T11:43:02;2024-10-23T12:59:00;7982.04
3;joshingly masterpiece;2024-10-22T23:08:33;2024-10-23T02:22:21;4700.23
4;perp implode;2024-10-23T17:22:01;2024-10-23T08:11:45;8581.75
5;shoot gullible including;2024-10-22T22:07:54;2024-10-23T17:01:54;15573.02
6;until oh but;2024-10-23T05:23:17;2024-10-23T10:52:16;5199.86
7;when now;2024-10-23T12:13:08;2024-10-23T11:32:37;27181.23
8;ugh;2024-10-22T21:31:10;2024-10-23T02:39:21;26369
9;firm;2024-10-23T16:14:38;2024-10-22T21:17:34;12680.19
10;following crackle puritan;2024-10-23T16:55:24;2024-10-23T09:27:06;2632.48
