id;invoice_number;issue_date;due_date;amount
1;tenement;2024-10-23T16:21:51;2024-10-23T11:08:58;31598.95
2;prohibition vice;2024-10-23T16:25:14;2024-10-22T20:05:32;7991.21
3;pecan as satirise;2024-10-23T00:20:11;2024-10-23T04:28:57;12502.59
4;buttery circa who;2024-10-23T11:41:48;2024-10-23T11:34:48;8880.89
5;rag uproot;2024-10-22T19:07:55;2024-10-23T02:08:14;26703.01
6;brush;2024-10-23T04:10:07;2024-10-23T13:44:29;19607.11
7;encode hm;2024-10-23T12:59:29;2024-10-23T07:07:42;24825.51
8;uh-huh;2024-10-23T10:25:55;2024-10-22T19:44:40;32707.82
9;deed unkempt inasmuch;2024-10-23T06:22:24;2024-10-22T21:05:39;32022.77
10;backburn hourly;2024-10-23T00:53:06;2024-10-23T07:21:27;19159.68
