id;invoice_number;issue_date;due_date;amount
1;ouch accredit inasmuch;2024-10-23T16:52:28;2024-10-23T03:04:17;1425.17
2;uncomfortable;2024-10-22T20:55:13;2024-10-22T22:56:12;29323.83
3;impossible however legend;2024-10-22T19:16:41;2024-10-23T02:26:13;17768.67
4;ouch;2024-10-23T04:04:30;2024-10-23T01:05:42;5413.82
5;ha oof psst;2024-10-23T12:19:00;2024-10-23T14:56:17;3554.65
6;but horn;2024-10-23T10:58:18;2024-10-23T03:49:11;15080.49
7;after;2024-10-23T05:25:29;2024-10-22T20:28:11;24509.24
8;sharply ew;2024-10-22T23:32:54;2024-10-23T10:38:04;27121.28
9;opposite graffiti yahoo;2024-10-23T17:19:00;2024-10-22T22:01:32;29470.3
10;lest popularity extent;2024-10-23T07:13:50;2024-10-22T20:58:18;4000.76
