id;invoice_number;issue_date;due_date;amount
1;instead dim highly;2024-10-23T08:46:11;2024-10-23T03:45:32;4301.65
2;minus cycle;2024-10-23T13:01:05;2024-10-23T13:43:57;25673.51
3;sizzle exempt oh;2024-10-23T05:46:32;2024-10-23T16:33:04;31830.74
4;waist geez;2024-10-23T12:25:49;2024-10-23T08:09:30;15782.25
5;exactly in;2024-10-22T20:45:51;2024-10-23T08:23:54;24238.24
6;overcook fooey;2024-10-23T18:54:34;2024-10-23T03:41:37;20934.46
7;athwart ew limp;2024-10-22T23:55:22;2024-10-23T01:14:47;558.27
8;briskly greatly deliquesce;2024-10-23T14:54:50;2024-10-23T03:26:32;17713.58
9;reflate;2024-10-23T08:32:12;2024-10-23T17:12:22;12426.94
10;carefree outside skeleton;2024-10-23T05:31:55;2024-10-23T04:02:05;5802.55
