id;invoice_number;issue_date;due_date;amount
1;unripe unpleasant phooey;2024-10-23T05:19:18;2024-10-22T23:27:48;25338.23
2;variable aha;2024-10-22T23:02:09;2024-10-23T04:46:30;31830.41
3;rudely indeed blah;2024-10-23T12:16:33;2024-10-23T03:55:42;16152.3
4;scale;2024-10-23T08:07:19;2024-10-23T03:08:21;11760.86
5;spark;2024-10-23T11:09:58;2024-10-23T02:21:37;19449.14
6;finally;2024-10-23T17:22:07;2024-10-23T15:57:02;21728.45
7;naughty nicely;2024-10-23T02:58:36;2024-10-23T04:23:58;30554.75
8;yahoo joyously even;2024-10-23T17:01:14;2024-10-23T01:45:21;20581.19
9;concerned blank phooey;2024-10-23T06:30:56;2024-10-23T14:14:46;17305.7
10;case;2024-10-23T03:00:01;2024-10-23T19:04:57;3547.83
