id;invoice_number;issue_date;due_date;amount
1;epic coordinated prickly;2024-10-23T14:34:09;2024-10-23T16:03:06;20404.56
2;yak fat;2024-10-22T19:02:02;2024-10-22T23:31:32;2252.78
3;blah modulo upward;2024-10-23T16:11:54;2024-10-23T01:20:04;23623.55
4;whopping ha;2024-10-22T22:10:24;2024-10-23T11:17:00;4384.96
5;rowdy repeatedly;2024-10-23T02:11:03;2024-10-23T13:54:36;29756.09
6;uh-huh clamp;2024-10-22T21:23:27;2024-10-23T10:33:10;21705.86
7;desk appropriate which;2024-10-23T03:10:40;2024-10-23T17:41:15;17365.61
8;pish;2024-10-23T12:24:12;2024-10-22T19:12:32;23131.02
9;till animated;2024-10-23T07:47:33;2024-10-23T14:59:01;14332.95
10;gadzooks during wrongly;2024-10-23T08:36:35;2024-10-22T19:26:21;19607.52
