id;invoice_number;issue_date;due_date;amount
1;trek via transcend;2024-10-22T23:05:21;2024-10-22T21:04:07;6946.96
2;yowza why;2024-10-23T12:39:43;2024-10-23T16:48:25;21534.9
3;gazebo source carouse;2024-10-22T22:13:09;2024-10-22T20:47:23;6662.63
4;inspect;2024-10-22T22:55:19;2024-10-23T11:59:57;17610.33
5;athletic inasmuch produce;2024-10-23T14:08:18;2024-10-23T02:08:16;19399.48
6;within;2024-10-23T12:14:21;2024-10-22T20:26:54;9645.06
7;um;2024-10-23T03:53:25;2024-10-23T01:26:05;20513.67
8;louse as log;2024-10-23T16:38:12;2024-10-23T14:18:10;27492.82
9;duh or hm;2024-10-23T11:08:22;2024-10-23T02:03:12;601.84
10;deselect aboard;2024-10-22T21:47:06;2024-10-23T15:08:02;17298.8
