id;name;price;stock;description
1;muted meh;29704.37;6433;../fake-data/blob/hipster.txt
2;pace;11748.39;25316;../fake-data/blob/hipster.txt
3;majestic;7656.88;2866;../fake-data/blob/hipster.txt
4;zowie antique average;13104.99;22234;../fake-data/blob/hipster.txt
5;serene whose versus;22252.87;5515;../fake-data/blob/hipster.txt
6;over truly heavily;373.19;29212;../fake-data/blob/hipster.txt
7;considering lest reservation;31470.73;93;../fake-data/blob/hipster.txt
8;papa;17797.45;12974;../fake-data/blob/hipster.txt
9;glaring;13528.48;13131;../fake-data/blob/hipster.txt
10;while grimy;26681.66;19935;../fake-data/blob/hipster.txt
