id;name;price;stock;description
1;secret;26144.42;13469;../fake-data/blob/hipster.txt
2;instead lightly trained;12083.37;20656;../fake-data/blob/hipster.txt
3;adjourn talkative;13342.92;1952;../fake-data/blob/hipster.txt
4;fearless;25083.31;8584;../fake-data/blob/hipster.txt
5;openly;23091.97;22887;../fake-data/blob/hipster.txt
6;knottily fiercely;32121.25;32291;../fake-data/blob/hipster.txt
7;reflecting muffled;17736.88;9471;../fake-data/blob/hipster.txt
8;taro;31486.7;30084;../fake-data/blob/hipster.txt
9;snoop;16977.91;29500;../fake-data/blob/hipster.txt
10;sans;26996.84;17628;../fake-data/blob/hipster.txt
