id;name;price;stock;description
1;boohoo captain;17393.33;6248;../fake-data/blob/hipster.txt
2;while why;18704.96;2034;../fake-data/blob/hipster.txt
3;ferociously ugh;31625.78;1837;../fake-data/blob/hipster.txt
4;ravage knit;6530.68;26833;../fake-data/blob/hipster.txt
5;ah supposing;22234.96;18741;../fake-data/blob/hipster.txt
6;mealy than;32271.5;32077;../fake-data/blob/hipster.txt
7;overconfidently enrich blindly;6820;8186;../fake-data/blob/hipster.txt
8;cautious;14268.18;7537;../fake-data/blob/hipster.txt
9;great;6136.68;27960;../fake-data/blob/hipster.txt
10;gah;730.69;22038;../fake-data/blob/hipster.txt
