id;name;price;stock;description
1;officially opposite near;8450.73;10708;../fake-data/blob/hipster.txt
2;anenst;23864.63;9095;../fake-data/blob/hipster.txt
3;negotiation;16604.7;10502;../fake-data/blob/hipster.txt
4;happy above cruel;14370.53;14931;../fake-data/blob/hipster.txt
5;yum;9178.4;19372;../fake-data/blob/hipster.txt
6;dimly moralise;19755.39;3829;../fake-data/blob/hipster.txt
7;whether evenly;19866.52;12990;../fake-data/blob/hipster.txt
8;vice along terrorise;21499.74;730;../fake-data/blob/hipster.txt
9;shrill;13745.43;14576;../fake-data/blob/hipster.txt
10;ugh;23143.44;30889;../fake-data/blob/hipster.txt
