id;name;price;stock;description
1;boo;25460.2;30699;../fake-data/blob/hipster.txt
2;across woot;21227.79;5418;../fake-data/blob/hipster.txt
3;patiently;2553.12;27416;../fake-data/blob/hipster.txt
4;bah before;23519.54;13375;../fake-data/blob/hipster.txt
5;merge devil;27311.51;2602;../fake-data/blob/hipster.txt
6;couch;29049.65;6753;../fake-data/blob/hipster.txt
7;gah;25543.75;2560;../fake-data/blob/hipster.txt
8;bulky wedding boldly;5097.63;15585;../fake-data/blob/hipster.txt
9;despite beep;24672.41;24077;../fake-data/blob/hipster.txt
10;what excepting before;28603.66;10109;../fake-data/blob/hipster.txt
