id;tracking_number;shipped_date;delivery_date
1;sniff suddenly;2024-10-23T04:54:22;2024-10-23T10:40:09
2;whose;2024-10-22T19:44:07;2024-10-23T04:46:30
3;sense;2024-10-23T18:16:46;2024-10-23T08:32:16
4;until fork;2024-10-23T14:31:34;2024-10-23T12:43:22
5;than plus;2024-10-23T18:07:43;2024-10-23T11:21:31
6;pecan;2024-10-23T09:15:31;2024-10-22T23:47:49
7;deflect ack quadruple;2024-10-23T04:26:24;2024-10-23T12:38:04
8;although floodlight culture;2024-10-23T02:53:40;2024-10-23T02:09:16
9;cop warm lazily;2024-10-23T16:46:35;2024-10-22T23:47:35
10;apropos throughout flat;2024-10-23T05:11:47;2024-10-23T03:16:45
