id;tracking_number;shipped_date;delivery_date
1;tepid question;2024-10-23T09:37:22;2024-10-22T21:38:32
2;intent newsstand than;2024-10-23T06:23:33;2024-10-23T16:27:23
3;yum;2024-10-22T23:22:53;2024-10-23T09:51:13
4;carelessly trolley alarmed;2024-10-23T11:37:43;2024-10-23T04:26:12
5;worldly blowgun;2024-10-22T18:53:21;2024-10-23T15:16:01
6;hurtful good-natured icy;2024-10-23T02:52:57;2024-10-22T21:21:43
7;astride;2024-10-23T14:08:26;2024-10-23T02:18:39
8;regarding strange book;2024-10-22T23:24:02;2024-10-22T20:03:01
9;failing low;2024-10-23T02:39:23;2024-10-22T23:08:57
10;um commonly scared;2024-10-22T21:21:01;2024-10-23T09:48:08
