id;tracking_number;shipped_date;delivery_date
1;nauseate from;2024-10-22T19:39:48;2024-10-22T19:56:13
2;boohoo;2024-10-23T04:20:01;2024-10-23T12:55:47
3;gee;2024-10-23T09:46:50;2024-10-23T16:11:23
4;outrun sparse fedora;2024-10-23T04:52:40;2024-10-23T12:51:22
5;without;2024-10-23T08:38:53;2024-10-23T10:44:06
6;er past merrily;2024-10-23T13:28:09;2024-10-23T13:45:57
7;er;2024-10-23T08:47:43;2024-10-23T07:29:53
8;cutover outrageous although;2024-10-23T04:37:19;2024-10-23T04:56:11
9;incinerate provided;2024-10-23T06:10:29;2024-10-23T05:12:47
10;bolster;2024-10-23T16:27:43;2024-10-23T03:10:26
