id;tracking_number;shipped_date;delivery_date
1;pfft good-natured;2024-10-23T00:39:07;2024-10-23T07:08:18
2;that mmm freely;2024-10-23T14:11:40;2024-10-23T12:54:49
3;goodwill hydrolyse;2024-10-23T08:30:15;2024-10-23T06:02:43
4;whether;2024-10-23T18:04:15;2024-10-23T03:29:42
5;hastily;2024-10-22T18:22:57;2024-10-23T17:13:21
6;alongside versus suckle;2024-10-23T01:36:40;2024-10-23T10:43:40
7;closely punctuation;2024-10-23T10:11:30;2024-10-23T10:33:20
8;whether quintessential what;2024-10-23T16:43:17;2024-10-23T12:15:53
9;bob eek regular;2024-10-23T08:15:07;2024-10-23T05:53:20
10;yowza questioningly yippee;2024-10-22T22:48:06;2024-10-23T05:27:06
