id;tracking_number;shipped_date;delivery_date
1;lest;2024-10-23T03:40:43;2024-10-23T16:03:35
2;marten graduate grown;2024-10-22T18:41:54;2024-10-23T04:59:20
3;doubtfully bathhouse;2024-10-23T14:07:32;2024-10-22T21:19:56
4;um nearly veto;2024-10-23T15:53:08;2024-10-23T16:16:36
5;helplessly travel actual;2024-10-23T16:48:41;2024-10-22T18:54:19
6;yearly whoa;2024-10-23T14:10:47;2024-10-22T18:42:18
7;coordinated from concerning;2024-10-22T22:59:05;2024-10-23T14:04:20
8;vacantly;2024-10-23T12:33:34;2024-10-23T16:52:15
9;that;2024-10-23T08:52:14;2024-10-23T14:25:03
10;abaft merry colligate;2024-10-23T13:29:40;2024-10-23T06:49:52
