id;tracking_number;shipped_date;delivery_date
1;notwithstanding;2024-10-23T03:19:40;2024-10-23T16:31:38
2;likely drat;2024-10-23T13:49:31;2024-10-23T13:37:50
3;once until border;2024-10-23T04:01:43;2024-10-22T19:56:55
4;carelessly;2024-10-23T04:44:22;2024-10-22T19:12:04
5;unlike weatherize for;2024-10-22T20:16:36;2024-10-23T11:30:02
6;complicated birdcage;2024-10-23T10:01:31;2024-10-23T17:40:14
7;above for;2024-10-23T01:11:52;2024-10-22T22:45:25
8;dead cutlet;2024-10-23T03:02:53;2024-10-23T02:36:40
9;lone eternity;2024-10-22T22:08:53;2024-10-23T04:29:47
10;facilitate agreement;2024-10-23T00:20:23;2024-10-23T13:53:22
