id;tracking_number;shipped_date;delivery_date
1;yuck instance failing;2024-10-23T10:59:44;2024-10-23T07:56:34
2;inwardly yeast;2024-10-23T10:21:01;2024-10-23T16:36:24
3;joshingly;2024-10-23T09:10:00;2024-10-23T13:54:55
4;yet unnecessarily;2024-10-23T11:43:10;2024-10-23T12:37:27
5;spattering;2024-10-23T19:00:49;2024-10-23T01:47:21
6;linseed that;2024-10-23T07:38:00;2024-10-23T08:26:35
7;underneath;2024-10-23T12:43:57;2024-10-23T05:05:50
8;parched;2024-10-23T06:01:31;2024-10-22T23:28:28
9;partially beneath fast;2024-10-22T22:00:57;2024-10-23T08:29:13
10;geez gadzooks ack;2024-10-23T18:10:10;2024-10-23T08:53:46
