id;tracking_number;shipped_date;delivery_date
1;towards;2024-10-22T20:07:00;2024-10-23T06:28:46
2;after wriggler well-to-do;2024-10-23T17:45:32;2024-10-23T07:08:03
3;bitterly or knickers;2024-10-23T00:37:18;2024-10-23T13:09:44
4;unlawful redesign approach;2024-10-23T17:31:04;2024-10-23T01:30:24
5;finally overcoat solicit;2024-10-22T23:03:21;2024-10-23T09:36:06
6;astride cafe impure;2024-10-23T13:06:39;2024-10-22T21:26:30
7;upwardly;2024-10-22T22:09:30;2024-10-22T21:42:38
8;manner geez till;2024-10-23T04:05:24;2024-10-22T18:36:39
9;uh-huh;2024-10-23T14:59:16;2024-10-23T01:48:18
10;always;2024-10-22T22:53:07;2024-10-23T03:04:13
