id;name;price;stock;description
1;absent dismal outside;31941.39;15550;../fake-data/blob/hipster.txt
2;encode by fair;4746.31;19939;../fake-data/blob/hipster.txt
3;rarely;13803.38;26317;../fake-data/blob/hipster.txt
4;spice cheap though;20483.21;9048;../fake-data/blob/hipster.txt
5;neatly;10141.98;8251;../fake-data/blob/hipster.txt
6;outrageous off about;25351.35;6109;../fake-data/blob/hipster.txt
7;knickers athwart;14884.5;400;../fake-data/blob/hipster.txt
8;downright fooey;5263.52;24041;../fake-data/blob/hipster.txt
9;complete extricate tightly;20322.05;26253;../fake-data/blob/hipster.txt
10;whenever hm pish;18191.13;9103;../fake-data/blob/hipster.txt
