id;name;price;stock;description
1;peony;7724.53;24382;../fake-data/blob/hipster.txt
2;wholly;31353.37;27583;../fake-data/blob/hipster.txt
3;instead or;27592.85;20823;../fake-data/blob/hipster.txt
4;solvency;30387.08;6010;../fake-data/blob/hipster.txt
5;pulverize;9645.61;31611;../fake-data/blob/hipster.txt
6;vengeful;15161.5;16453;../fake-data/blob/hipster.txt
7;because ugh;27830.27;23470;../fake-data/blob/hipster.txt
8;reassuringly hm;18548.86;29949;../fake-data/blob/hipster.txt
9;why;17176.59;13714;../fake-data/blob/hipster.txt
10;apropos bicycle;26123.97;4918;../fake-data/blob/hipster.txt
