id;tracking_number;shipped_date;delivery_date
1;criminal;2024-10-22T21:06:13;2024-10-23T09:51:57
2;twine esteemed role;2024-10-23T04:28:00;2024-10-23T16:52:44
3;mid silently through;2024-10-23T12:30:25;2024-10-23T04:57:27
4;whose suddenly whereas;2024-10-22T18:56:29;2024-10-23T03:50:23
5;violently whoa;2024-10-23T11:20:15;2024-10-23T13:55:47
6;jealously of;2024-10-23T09:09:21;2024-10-23T03:45:02
7;supposing crushing gosh;2024-10-23T12:50:26;2024-10-23T08:50:30
8;bestride collaboration;2024-10-23T15:55:07;2024-10-23T09:44:54
9;pish what;2024-10-23T08:19:48;2024-10-22T18:20:55
10;anenst;2024-10-23T05:01:38;2024-10-23T11:44:18
