id;tracking_number;shipped_date;delivery_date
1;jeopardise;2024-10-23T16:27:57;2024-10-22T20:58:06
2;gray aha;2024-10-22T20:17:04;2024-10-22T22:24:23
3;likely;2024-10-23T09:29:46;2024-10-23T05:39:27
4;oof digitize now;2024-10-23T07:44:04;2024-10-23T13:38:41
5;stack penalise accomplished;2024-10-23T15:31:10;2024-10-23T15:59:56
6;qua;2024-10-22T18:01:30;2024-10-23T16:21:34
7;yuck before over;2024-10-23T06:36:34;2024-10-22T21:47:14
8;showy as;2024-10-23T11:08:32;2024-10-23T08:50:55
9;complication;2024-10-23T10:04:00;2024-10-23T13:20:10
10;not unimpressively making;2024-10-23T06:38:20;2024-10-23T02:00:40
