id;tracking_number;shipped_date;delivery_date
1;sans;2024-10-22T17:42:40;2024-10-22T20:33:26
2;during;2024-10-23T10:33:57;2024-10-23T07:34:53
3;alongside since;2024-10-23T09:46:02;2024-10-23T08:00:29
4;metal;2024-10-23T00:18:11;2024-10-23T14:08:07
5;miserly oh;2024-10-23T06:21:53;2024-10-23T00:20:05
6;average spattering obedience;2024-10-23T13:35:23;2024-10-23T06:15:04
7;towards through carp;2024-10-23T02:13:43;2024-10-23T02:16:36
8;yum consequently loftily;2024-10-23T16:07:09;2024-10-23T01:19:49
9;scarification;2024-10-22T19:36:21;2024-10-22T21:31:19
10;superficial;2024-10-23T15:39:00;2024-10-23T00:59:24
