id;tracking_number;shipped_date;delivery_date
1;but orientate;2024-10-22T22:23:57;2024-10-22T18:35:21
2;mom;2024-10-22T22:39:00;2024-10-23T09:57:54
3;archive what;2024-10-23T01:18:38;2024-10-22T20:45:11
4;across;2024-10-22T23:57:27;2024-10-23T15:44:36
5;um;2024-10-22T21:31:16;2024-10-23T10:30:56
6;phew shocked;2024-10-23T05:30:01;2024-10-23T16:17:52
7;afore publicize;2024-10-23T11:09:04;2024-10-23T09:12:33
8;near habit;2024-10-22T18:52:56;2024-10-23T12:47:36
9;superficial descendant indeed;2024-10-23T14:01:19;2024-10-22T22:50:36
10;than plus upwardly;2024-10-23T02:14:07;2024-10-23T12:10:29
