id;tracking_number;shipped_date;delivery_date
1;ha which;2024-10-22T22:08:44;2024-10-23T09:14:40
2;barring commonly except;2024-10-23T07:41:55;2024-10-23T14:39:27
3;whereas likewise;2024-10-23T12:41:05;2024-10-22T20:33:11
4;sunbathe;2024-10-22T18:30:46;2024-10-22T18:17:08
5;and hollow for;2024-10-23T07:13:38;2024-10-23T11:58:13
6;merry indeed likewise;2024-10-23T11:18:57;2024-10-23T01:09:18
7;gloomy huzzah subsidy;2024-10-23T13:28:13;2024-10-23T10:08:29
8;physically usefully alongside;2024-10-23T14:16:18;2024-10-23T00:45:15
9;smog;2024-10-23T13:03:03;2024-10-23T04:15:08
10;until boastfully perfectly;2024-10-23T15:02:34;2024-10-23T05:13:06
