id;tracking_number;shipped_date;delivery_date
1;within ha;2024-10-22T20:53:48;2024-10-22T16:27:59
2;whether;2024-10-23T07:53:45;2024-10-23T00:30:58
3;given rosemary;2024-10-23T08:13:19;2024-10-23T12:29:55
4;pomelo jeopardise;2024-10-23T01:58:40;2024-10-22T22:17:20
5;before closed;2024-10-23T00:47:09;2024-10-22T20:20:57
6;quizzically;2024-10-23T08:02:49;2024-10-22T18:03:43
7;fortunately;2024-10-23T12:10:06;2024-10-23T16:10:31
8;jealous witty oof;2024-10-23T10:15:13;2024-10-22T23:23:58
9;table pause;2024-10-22T19:45:24;2024-10-23T04:02:10
10;premier mobility;2024-10-23T13:13:22;2024-10-23T07:42:24
