id;invoice_number;issue_date;due_date;amount
1;foolishly emerge drat;2024-10-21T12:36:31;2024-10-21T15:01:52;12898.14
2;depute drat grandson;2024-10-21T02:45:43;2024-10-21T08:14:00;4679.93
3;across;2024-10-21T10:57:37;2024-10-20T16:36:02;13448.07
4;for;2024-10-21T09:05:19;2024-10-21T13:38:20;7174.97
5;gee scram;2024-10-20T18:23:56;2024-10-21T09:36:40;16042.54
6;modulo;2024-10-21T03:43:11;2024-10-21T00:05:47;28718.53
7;whose;2024-10-21T09:58:26;2024-10-20T18:41:02;15597.78
8;entice epic;2024-10-21T04:22:12;2024-10-20T16:06:15;11896.86
9;amid;2024-10-20T23:56:56;2024-10-21T10:28:00;26948.72
10;dicker deeply violin;2024-10-21T02:41:05;2024-10-21T12:08:44;4540.78
