id;tracking_number;shipped_date;delivery_date
1;cinder yowza nearly;2024-10-21T12:00:27;2024-10-20T21:57:56
2;brightly;2024-10-20T19:57:37;2024-10-21T13:48:28
3;carpool irritably;2024-10-21T09:58:11;2024-10-21T08:15:59
4;nervously meh;2024-10-20T22:48:31;2024-10-21T11:41:56
5;testimonial tray;2024-10-21T00:19:57;2024-10-20T16:31:17
6;carouse hungry;2024-10-21T01:42:31;2024-10-20T18:52:55
7;plumber halt gee;2024-10-21T00:13:41;2024-10-20T21:59:38
8;ski stealthily;2024-10-20T18:15:53;2024-10-21T04:33:55
9;glimmer;2024-10-20T17:26:41;2024-10-20T16:04:43
10;adrenalin considering who;2024-10-21T03:20:35;2024-10-20T16:58:23
