id;invoice_number;issue_date;due_date;amount
1;foolishly emerge drat;2024-10-21T12:44:01;2024-10-21T15:09:22;12898.14
2;depute drat grandson;2024-10-21T02:53:13;2024-10-21T08:21:30;4679.93
3;across;2024-10-21T11:05:07;2024-10-20T16:43:32;13448.07
4;for;2024-10-21T09:12:49;2024-10-21T13:45:50;7174.97
5;gee scram;2024-10-20T18:31:26;2024-10-21T09:44:10;16042.54
6;modulo;2024-10-21T03:50:41;2024-10-21T00:13:17;28718.53
7;whose;2024-10-21T10:05:56;2024-10-20T18:48:32;15597.78
8;entice epic;2024-10-21T04:29:42;2024-10-20T16:13:45;11896.86
9;amid;2024-10-21T00:04:26;2024-10-21T10:35:30;26948.72
10;dicker deeply violin;2024-10-21T02:48:35;2024-10-21T12:16:14;4540.78
