id;name;price;stock;description
1;know;6961.73;13710;../fake-data/blob/hipster.txt
2;of milestone anenst;10812.49;25368;../fake-data/blob/hipster.txt
3;devastation mobilize;723.29;17429;../fake-data/blob/hipster.txt
4;quirkily describe past;6999.74;16368;../fake-data/blob/hipster.txt
5;why;15868.73;27974;../fake-data/blob/hipster.txt
6;wherever regarding;10973.52;21260;../fake-data/blob/hipster.txt
7;downchange unless than;3578.15;27074;../fake-data/blob/hipster.txt
8;circa banish like;7667.09;10318;../fake-data/blob/hipster.txt
9;nautical;28395.38;12446;../fake-data/blob/hipster.txt
10;yippee intently;3604.42;28968;../fake-data/blob/hipster.txt
