id;tracking_number;shipped_date;delivery_date
1;within ha;2024-10-20T19:46:49;2024-10-20T15:21:00
2;whether;2024-10-21T06:46:46;2024-10-20T23:23:59
3;given rosemary;2024-10-21T07:06:20;2024-10-21T11:22:56
4;pomelo jeopardise;2024-10-21T00:51:41;2024-10-20T21:10:21
5;before closed;2024-10-20T23:40:10;2024-10-20T19:13:58
6;quizzically;2024-10-21T06:55:50;2024-10-20T16:56:44
7;fortunately;2024-10-21T11:03:07;2024-10-21T15:03:32
8;jealous witty oof;2024-10-21T09:08:14;2024-10-20T22:16:59
9;table pause;2024-10-20T18:38:25;2024-10-21T02:55:11
10;premier mobility;2024-10-21T12:06:23;2024-10-21T06:35:25
