id;tracking_number;shipped_date;delivery_date
1;cinder yowza nearly;2024-10-21T12:07:57;2024-10-20T22:05:26
2;brightly;2024-10-20T20:05:07;2024-10-21T13:55:58
3;carpool irritably;2024-10-21T10:05:41;2024-10-21T08:23:29
4;nervously meh;2024-10-20T22:56:01;2024-10-21T11:49:26
5;testimonial tray;2024-10-21T00:27:27;2024-10-20T16:38:47
6;carouse hungry;2024-10-21T01:50:01;2024-10-20T19:00:25
7;plumber halt gee;2024-10-21T00:21:11;2024-10-20T22:07:08
8;ski stealthily;2024-10-20T18:23:23;2024-10-21T04:41:25
9;glimmer;2024-10-20T17:34:11;2024-10-20T16:12:13
10;adrenalin considering who;2024-10-21T03:28:05;2024-10-20T17:05:53
