id;invoice_number;issue_date;due_date;amount
1;graceful;2024-10-20T17:13:13;2024-10-21T13:56:13;650.31
2;publicize;2024-10-20T16:14:25;2024-10-21T00:36:33;21968.11
3;when blink boohoo;2024-10-20T20:17:02;2024-10-21T03:23:06;1203.87
4;slow via dense;2024-10-20T21:14:10;2024-10-21T01:49:53;31060.02
5;foolishly shirk;2024-10-21T15:24:55;2024-10-20T16:13:53;28998.21
6;while greedily offend;2024-10-20T18:56:41;2024-10-21T08:29:30;7275.38
7;scientific despite;2024-10-20T19:23:23;2024-10-21T05:35:01;7848.09
8;whether frankly pfft;2024-10-20T20:25:24;2024-10-20T18:50:45;10828.67
9;aha advancement intend;2024-10-21T15:03:20;2024-10-20T21:34:49;21098.77
10;pish when pfft;2024-10-20T18:54:02;2024-10-20T16:12:18;26410.71
