id;invoice_number;issue_date;due_date;amount
1;octave moralise;2024-10-21T11:56:15;2024-10-20T19:01:54;27304.56
2;needily narrowcast phew;2024-10-20T17:37:18;2024-10-20T18:25:04;4260.17
3;uh-huh near;2024-10-21T00:20:27;2024-10-21T06:05:47;16652.73
4;fleck thunderbolt;2024-10-21T11:51:31;2024-10-21T00:57:22;28276.45
5;custody epic helpfully;2024-10-20T22:44:18;2024-10-21T13:50:47;1181.84
6;debit;2024-10-20T18:33:27;2024-10-20T19:56:52;28089.18
7;instead um exactly;2024-10-21T10:49:56;2024-10-20T19:15:55;13622.9
8;motionless mountain;2024-10-20T16:01:25;2024-10-21T04:30:49;29692.7
9;mould per;2024-10-20T22:12:25;2024-10-21T04:03:44;32684.23
10;yuck if;2024-10-21T04:56:21;2024-10-21T00:13:53;1065.76
