id;name;price;stock;description
1;awareness terribly indeed;31874.11;12538;../fake-data/blob/hipster.txt
2;against awesome and;9933.57;11202;../fake-data/blob/hipster.txt
3;range what;12270.16;26978;../fake-data/blob/hipster.txt
4;lively;11723.87;6369;../fake-data/blob/hipster.txt
5;anti thorny archive;18696.85;8769;../fake-data/blob/hipster.txt
6;from yippee;30933.55;11586;../fake-data/blob/hipster.txt
7;compassionate powerfully;17448.18;25707;../fake-data/blob/hipster.txt
8;following nervous;8821.9;13618;../fake-data/blob/hipster.txt
9;stiff whenever;27249.1;28975;../fake-data/blob/hipster.txt
10;multicolored likewise;31851.15;22178;../fake-data/blob/hipster.txt
